Id,Slug,Type,Name,OpenCollective,Twitter,CodeRepository,GitHubUser,GithubRepository,GitHubStatus,LocationCountry,IsFrozen,IsActive,CreatedAt,UpdatedAt,Budget,Currency
0n4gx0br-ov5m96n0-l8qd8lk3-ey7jzwan,opencollective-oss,COLLECTIVE,Open Collective OSS,https://opencollective.com/opencollective-oss,https://twitter.com/opencollect,https://github.com/opencollective/opencollective,https://github.com/opencollective,https://github.com/opencollective/opencollective,Repo found,,false,true,2015-12-13T00:14:54.028Z,2020-01-14T05:20:10.606Z,0,USD
xrmvrwng-4kj03dpb-9z6z57oy-l9e8xbaj,mochajs,COLLECTIVE,Mocha,https://opencollective.com/mochajs,,https://github.com/mochajs/mocha,https://github.com/mochajs,https://github.com/mochajs/mocha,Repo found,,false,true,2016-03-18T00:00:00.000Z,2022-04-07T10:55:57.454Z,25204.48,USD
xggnxdwz-j3le5mpw-z8py8rvb-ko04a97b,react-starter-kit,COLLECTIVE,React Starter Kit,https://opencollective.com/react-starter-kit,https://twitter.com/ReactStarter,https://github.com/kriaoft/react-starter-kit,https://github.com/kriaoft,,Repo not found,,false,true,2016-04-02T00:00:00.000Z,2021-06-03T19:50:24.760Z,0,USD
dlk9mbw7-y48r3zq3-olq0ej5l-avnodgx7,kriasoft,COLLECTIVE,Kriasoft,https://opencollective.com/kriasoft,https://twitter.com/kriasoft,https://github.com/kriasoft,https://github.com/kriasoft,,Has no repo URL,,false,true,2016-04-02T00:00:00.000Z,2023-06-29T09:43:22.975Z,0,USD
388rzown-xl9e50px-rlpymvbd-gk7j43a9,react-firebase-starter,COLLECTIVE,React Starter Kit for Firebase,https://opencollective.com/react-firebase-starter,https://twitter.com/ReactStarter,https://github.com/kriasoft/react-firebase-starter,https://github.com/kriasoft,https://github.com/kriasoft/react-firebase-starter,Repo found,Russia,false,true,2016-04-02T00:00:00.000Z,2020-01-14T05:19:45.263Z,1200,USD
xggnxdwz-j3le5mpw-58py8rvb-ko04a97b,gulpjs,COLLECTIVE,gulp,https://opencollective.com/gulpjs,https://twitter.com/gulpjs,https://github.com/gulpjs,https://github.com/gulpjs,,Has no repo URL,,false,true,2016-04-29T00:00:00.000Z,2021-03-24T17:36:38.792Z,10847.29,USD
dlk9mbw7-y48r3zq3-el60ej5l-avnodgx7,koajs,COLLECTIVE,KoaJS,https://opencollective.com/koajs,,https://github.com/koajs,https://github.com/koajs,,Has no repo URL,United States,false,true,2016-05-13T00:00:00.000Z,2020-04-18T07:01:24.006Z,522.8,USD
ynmlo94z-n7x08dpo-j36ewga3-vjbrky5m,dokku,COLLECTIVE,Dokku,https://opencollective.com/dokku,https://twitter.com/dokku,https://github.com/dokku,https://github.com/dokku,,Has no repo URL,,false,true,2016-05-20T21:37:22.160Z,2021-02-03T03:19:07.627Z,12880.65,USD
oeejoxl3-az45w9pa-9eqy870m-gkbrvdn8,streetmix,COLLECTIVE,Streetmix,https://opencollective.com/streetmix,https://twitter.com/streetmix,https://github.com/streetmix,https://github.com/streetmix,,Has no repo URL,,false,true,2016-05-31T00:00:00.000Z,2022-08-18T20:46:17.319Z,11438.93,USD
are0adkj-rv8xwm69-yoq7z5n4-l93bgoyx,koel,COLLECTIVE,koel,https://opencollective.com/koel,,https://github.com/koel,https://github.com/koel,,Has no repo URL,Germany,false,true,2016-06-10T14:34:05.326Z,2022-07-26T09:56:38.325Z,701.9,USD
ynmlo94z-n7x08dpo-zoqewga3-vjbrky5m,cheerio,COLLECTIVE,cheerio,https://opencollective.com/cheerio,,https://github.com/cheeriojs,https://github.com/cheeriojs,,Has no repo URL,,false,true,2016-06-18T00:00:00.000Z,2023-02-13T11:17:45.414Z,17436.11,USD
dlk9mbw7-y48r3zq3-nd60ej5l-avnodgx7,milligram,COLLECTIVE,Milligram,https://opencollective.com/milligram,https://twitter.com/cjpatoilo,https://github.com/milligram/milligram,https://github.com/milligram,https://github.com/milligram/milligram,Repo found,,false,true,2016-07-04T07:19:12.135Z,2019-09-27T16:44:51.765Z,0,USD
y4rxg0j3-5lzkwm6v-wrqvoe98-n47dabyo,bevry,COLLECTIVE,Bevry,https://opencollective.com/bevry,https://twitter.com/BevryMe,https://github.com/bevry,https://github.com/bevry,,Has no repo URL,,false,true,2016-07-06T08:31:16.880Z,2021-05-31T05:11:58.633Z,0,USD
rdgm9bnk-80437xqr-d5pvzeol-jdayw5re,ava,COLLECTIVE,AVA,https://opencollective.com/ava,https://twitter.com/ava__js,https://github.com/avajs,https://github.com/avajs,,Has no repo URL,,false,true,2016-07-14T19:08:19.182Z,2022-02-06T14:46:23.209Z,120,USD
xggnxdwz-j3le5mpw-3v6y8rvb-ko04a97b,hospitalrun,COLLECTIVE,HospitalRun,https://opencollective.com/hospitalrun,https://twitter.com/HospitalRun,https://github.com/hospitalrun,https://github.com/hospitalrun,,Has no repo URL,,false,true,2016-07-20T03:24:32.949Z,2023-02-07T17:17:42.849Z,127.25,USD
m5ax8emk-7lnw54q7-om6gyvj0-o93zdrbn,24pullrequests,COLLECTIVE,24pullrequests,https://opencollective.com/24pullrequests,https://twitter.com/24pullrequests,https://github.com/24pullrequests,https://github.com/24pullrequests,,Has no repo URL,,false,true,2016-08-01T12:21:00.350Z,2021-11-29T16:52:34.325Z,10,USD
obvrgbk3-57l4x96e-94qomewa-0jdyzn83,nightwatch,COLLECTIVE,Nightwatch,https://opencollective.com/nightwatch,https://twitter.com/nightwatchjs,https://github.com/nightwatchjs,https://github.com/nightwatchjs,,Has no repo URL,,false,true,2016-08-15T21:28:52.819Z,2020-01-14T05:18:45.164Z,1082.16,USD
x0n4gx0b-rov5m96n-586d8lk3-ey7jzwan,octolinker,COLLECTIVE,OctoLinker,https://opencollective.com/octolinker,https://twitter.com/octolinker,https://github.com/octolinker,https://github.com/octolinker,,Has no repo URL,,false,true,2016-08-21T19:12:10.576Z,2020-01-14T05:18:43.559Z,0,USD
z53kzxy4-v07wlr6m-yk6mj9no-8agdbe57,cyclejs,COLLECTIVE,Cycle.js,https://opencollective.com/cyclejs,https://twitter.com/cyclejs,https://github.com/cyclejs,https://github.com/cyclejs,,Has no repo URL,,false,true,2016-09-11T08:54:15.295Z,2021-07-29T10:52:40.500Z,207.18,USD
m5ax8emk-7lnw54q7-jxqgyvj0-o93zdrbn,noble,COLLECTIVE,noble,https://opencollective.com/noble,,https://github.com/noble,https://github.com/noble,,Has no repo URL,,false,true,2016-09-11T11:51:42.553Z,2020-01-14T05:18:40.959Z,120,USD
3k3z8arx-veymko60-jbqgl5nb-j9w704dv,npms,COLLECTIVE,npms,https://opencollective.com/npms,https://twitter.com/npms_io,https://github.com/npms-io,https://github.com/npms-io,,Has no repo URL,,false,true,2016-09-23T00:27:38.801Z,2020-04-01T12:54:56.058Z,0,USD
rdgm9bnk-80437xqr-0oqvzeol-jdayw5re,blaze,COLLECTIVE,Blaze,https://opencollective.com/blaze,,https://github.com/meteor/blaze,https://github.com/meteor,https://github.com/meteor/blaze,Repo found,,false,true,2016-09-26T18:24:33.004Z,2023-07-24T15:20:45.758Z,79.13,USD
