repositoryUrl,ecosystem,registry_url,dependent_packages_count,dependent_repos_count,docker_dependents_count,docker_downloads_count,downloads,downloads_period,last_synced_at,status
https://github.com/-/test,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/07akioni/xicons,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/101cy/0xPecker,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/101Schemes-io-L-L-C/101schemes-web,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/11ty/eleventy,npm,https://www.npmjs.com/package/@11ty/eleventy,633,17987,1,26,209653,last-month,2023-07-17T12:32:26.17Z,OK
https://github.com/136728487/share-accout,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/142359/142359,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/1c7/chinese-independent-developer,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/21w42/all-on-chain-generated-nft,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/24OI/gcc_five_minute,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/24pullrequests/24pullrequests,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/2b2tjb/DiscordSRV,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/2factorauth/twofactorauth,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/304/Zend_Framework_Skeleton,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/314-education/97cosas,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/31z4/zookeeper-docker,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/3lang3/react-vant,npm,https://www.npmjs.com/package/react-vant,20,45,null,null,3167,last-month,2023-07-25T21:38:24.963Z,OK
https://github.com/3mdeb/pxe-server,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/4awpawz/trio,npm,https://www.npmjs.com/package/@4awpawz/trio,1,1,null,null,116,last-month,2023-07-16T10:15:44.199Z,OK
https://github.com/4freunde/cli_intensities,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/500tech/middleware-lecture,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/553899811/Java-Programmer-Advancement-Program,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/5argon/NotchSolution,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/A-Edge/lunni,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/A-l-y-l-e/Alyle-UI,npm,https://www.npmjs.com/package/@alyle/ui,2,70,null,null,15890,last-month,2023-07-16T13:44:20.685Z,OK
https://github.com/a11yproject/a11yproject.com,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/aaaguirrep/offensive-docker,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/aaditmshah/augment,npm,https://www.npmjs.com/package/augment,11,695,3,94,8355,last-month,2023-07-15T00:00:45.456Z,OK
https://github.com/aaronleopold/axum-graphql-prisma,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/AbelLJ/instaco,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/abelljs/abell,npm,https://www.npmjs.com/package/abell,8,19,null,null,525,last-month,2023-07-22T20:23:15.038Z,OK
https://github.com/abergs/ubuntuonwindows,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/AberystwythSystemsBiology/limbus,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/Abeylulseged0457/project_3D_developer_portfolio,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/abhaynikam/boring_generators,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/abhijithvijayan/web-extension-starter,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/abhinavsingh/proxy.py,pypi,https://pypi.org/project/proxy.py/,3,132,2,30,104221,last-month,2023-07-24T15:47:47.823Z,OK
https://github.com/abishekvashok/cmatrix,homebrew,https://formulae.brew.sh/formula/cmatrix,0,81,null,null,1062,last-month,2023-07-22T14:46:42.067Z,OK
https://github.com/Abuchtela/.github,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/acacode/swagger-typescript-api,npm,https://www.npmjs.com/package/swagger-typescript-api,116,205,4,2348122,539788,last-month,2023-07-26T07:11:27.177Z,OK
https://github.com/accel-ppp/accel-ppp,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/AccelAI/AI-DL-Enthusiasts-Meetup,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/accounts-js/accounts,npm,https://www.npmjs.com/package/@accounts/server,40,173,6,9674040,4583,last-month,2023-07-25T22:12:18.408Z,OK
https://github.com/AcheronProject/SharkPCB,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/acolono/php-magento-api-sandbox,null,null,null,null,null,null,null,null,null,No lookups
https://github.com/actionhero/actionhero,npm,https://www.npmjs.com/package/actionhero,88,342,1,5993,13967,last-month,2023-07-25T11:50:02.583Z,OK
https://github.com/actionshub/markdownlint,actions,null,0,263,null,null,null,null,2023-07-13T08:25:21.075Z,OK
https://github.com/activeadmin/activeadmin,rubygems,https://rubygems.org/gems/activeadmin,185,16473,23,13184,25352797,total,2023-07-25T15:41:30.178Z,OK
https://github.com/ActivityWatch/activitywatch,go,https://pkg.go.dev/github.com/activitywatch/activitywatch,0,0,null,null,null,null,2023-07-17T17:27:10.113Z,OK
