repositoryUrl,status,ecosystem,registry_url,dependent_packages_count,dependent_repos_count,docker_dependents_count,docker_downloads_count,downloads,downloads_period,last_synced_at
https://github.com/opencollective/opencollective,OK,npm,https://www.npmjs.com/package/babel-preset-opencollective-webpack,1,1,null,null,14,last-month,2023-08-31T11:56:22.346Z
https://github.com/mochajs/mocha,OK,npm,https://www.npmjs.com/package/mocha,261831,683562,3857,1732333059,31387239,last-month,2023-08-31T11:56:28.38Z
https://github.com/kriasoft/react-starter-kit,OK,npm,https://www.npmjs.com/package/generator-react-fullstack,2,1,null,null,104,last-month,2023-08-31T11:56:27.275Z
https://github.com/kriasoft/react-firebase-starter,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/gulpjs/gulp,OK,npm,https://www.npmjs.com/package/gulp,79142,447157,1579,450196677,5675242,last-month,2023-08-30T15:36:51.091Z
https://github.com/koajs/koa,OK,npm,https://www.npmjs.com/package/koa,9708,109950,632,73906730,7479150,last-month,2023-08-31T11:56:37.007Z
https://github.com/dokku/dokku,OK,go,https://pkg.go.dev/github.com/dokku/dokku/plugins/common,6,20,null,null,null,null,2023-08-31T11:56:45.548Z
https://github.com/streetmix/streetmix,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/koel/koel,OK,packagist,https://packagist.org/packages/phanan/koel#,0,0,null,null,100,total,2023-08-31T11:56:35.011Z
https://github.com/cheeriojs/cheerio,OK,npm,https://www.npmjs.com/package/cheerio,18686,557077,2521,2376487045,32680597,last-month,2023-08-31T11:32:35.903Z
https://github.com/milligram/milligram,OK,npm,https://www.npmjs.com/package/milligram,85,1390,2,213,38299,last-month,2023-08-31T11:56:39.161Z
https://github.com/bevry/cson,OK,npm,https://www.npmjs.com/package/cson,259,18502,145,3820815,358020,last-month,2023-08-31T09:35:58.829Z
https://github.com/avajs/ava,OK,npm,https://www.npmjs.com/package/ava,32026,178221,76,22956735,1309170,last-month,2023-08-31T09:05:30.37Z
https://github.com/HospitalRun/hospitalrun-frontend,OK,npm,https://www.npmjs.com/package/@ehealth-ci/hospitalrun,2,1,null,null,13,last-month,2023-08-31T11:56:37.04Z
https://github.com/24pullrequests/24pullrequests,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nightwatchjs/nightwatch,OK,npm,https://www.npmjs.com/package/nightwatch,3053,36492,97,162535473,708184,last-month,2023-08-31T11:56:41.551Z
https://github.com/OctoLinker/OctoLinker,OK,go,https://pkg.go.dev/github.com/octolinker/octolinker,0,0,null,null,null,null,2023-08-31T11:56:38.986Z
https://github.com/cyclejs/cyclejs,OK,npm,https://www.npmjs.com/package/@cycle/dom,123,299,4,236748,13956,last-month,2023-08-31T11:57:16.041Z
https://github.com/noble/noble,OK,go,https://pkg.go.dev/github.com/noble/noble,0,0,null,null,null,null,2023-08-31T11:56:41.863Z
https://github.com/npms-io/npms-analyzer,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/meteor/blaze,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/webpack/webpack,OK,npm,https://www.npmjs.com/package/webpack,216245,3177,14197,5039913750,112770577,last-month,2023-08-31T11:57:16.28Z
https://github.com/QubesOS/qubes-issues,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/opensourcedesign/jobs,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/coderaiser/cloudcmd,OK,npm,https://www.npmjs.com/package/cloudcmd,5,27,10,82750498,3018,last-month,2023-08-31T11:57:08.896Z
https://github.com/OpenTechFund/apply-app,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/preactjs/preact,OK,npm,https://www.npmjs.com/package/preact,3343,78992,558,49569352,11105399,last-month,2023-08-31T11:57:15.747Z
https://github.com/ant-design/ant-design,OK,npm,https://www.npmjs.com/package/antd,12829,113307,468,2423004,5279311,last-month,2023-08-29T05:07:49.714Z
https://github.com/cdnjs/cdnjs,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/octobox/octobox,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/OpenKitten/Meow,OK,cocoapods,https://cocoapods.org/pods/Meow,0,0,null,null,null,null,2023-08-28T01:03:00.424Z
https://github.com/GrapesJS/grapesjs,OK,npm,https://www.npmjs.com/package/grapesjs,132,362,5,70,295517,last-month,2023-08-30T22:55:09.485Z
https://github.com/rubocop/rubocop,OK,rubygems,https://rubygems.org/gems/rubocop,11643,115529,1379,1907988298,350190602,total,2023-08-30T21:59:09.29Z
https://github.com/clojure-emacs/cider,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/simonmichael/hledger,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/mui/material-ui,OK,npm,https://www.npmjs.com/package/@mui/material,4985,163982,661,21550197,12854864,last-month,2023-08-31T11:58:30.303Z
https://github.com/feathersjs/feathers,OK,npm,https://www.npmjs.com/package/@feathersjs/feathers,418,2269,19,19134,236344,last-month,2023-08-31T11:58:31.407Z
https://github.com/getgrav/grav,OK,packagist,https://packagist.org/packages/getgrav/grav#,2,9,null,null,67562,total,2023-08-31T11:57:31.555Z
https://github.com/openlayers/openlayers,OK,npm,https://www.npmjs.com/package/ol,998,29309,116,816663,803299,last-month,2023-08-31T10:21:54.246Z
https://github.com/react-dropzone/react-dropzone,OK,npm,https://www.npmjs.com/package/react-dropzone,2282,52270,492,246994785,12543071,last-month,2023-08-31T11:58:22.401Z
https://github.com/sinonjs/sinon,OK,npm,https://www.npmjs.com/package/sinon,70717,372404,1538,1279324884,31143924,last-month,2023-08-31T11:57:42.12Z
https://github.com/DestinyItemManager/DIM,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/faker-js/faker,OK,npm,https://www.npmjs.com/package/@faker-js/faker,1273,17617,227,478295853,12822809,last-month,2023-08-31T11:57:46.526Z
https://github.com/lc-soft/LCUI,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/indieweb/indiewebify-me,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/reactiveui/ReactiveUI,OK,go,https://pkg.go.dev/github.com/reactiveui/reactiveui,0,0,null,null,null,null,2023-08-31T11:57:42.396Z
https://github.com/phalcon/cphalcon,OK,packagist,https://packagist.org/packages/phalcon/cphalcon#,3,9,null,null,136062,total,2023-08-31T11:57:48.648Z
https://github.com/babel/babel,OK,npm,https://www.npmjs.com/package/@babel/types,4745,4673471,13382,4474174081,232050775,last-month,2023-08-28T20:27:59.337Z
https://github.com/SixLabors/ImageSharp,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/hexojs/hexo,OK,npm,https://www.npmjs.com/package/hexo,344,21451,36,3473,66926,last-month,2023-08-31T11:57:56.39Z
https://github.com/bower/bower,OK,npm,https://www.npmjs.com/package/bower-config,80,16911,325,144636069,837092,last-month,2023-08-31T11:58:05.209Z
https://github.com/YOURLS/YOURLS,OK,packagist,https://packagist.org/packages/yourls/yourls#,0,4,null,null,23265,total,2023-08-28T03:34:13.363Z
https://github.com/MvvmCross/MvvmCross,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/cssinjs/jss,OK,npm,https://www.npmjs.com/package/jss,954,290512,825,21936695,10914399,last-month,2023-08-31T11:58:37.148Z
https://github.com/socketio/socket.io,OK,npm,https://www.npmjs.com/package/socket.io,10167,1351985,2956,1377825016,21324144,last-month,2023-08-29T18:36:41.517Z
https://github.com/parse-community/parse-server,OK,npm,https://www.npmjs.com/package/parse-server,114,1211,19,876809,92859,last-month,2023-08-31T11:58:26.124Z
https://github.com/cucumber/cucumber-ruby,OK,rubygems,https://rubygems.org/gems/cucumber,2365,56404,203,56333387,65522693,total,2023-08-31T11:57:56.628Z
