repositoryUrl,status,ecosystem,registry_url,dependent_packages_count,dependent_repos_count,docker_dependents_count,docker_downloads_count,downloads,downloads_period,last_synced_at
https://github.com/-/test,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/07akioni/xicons,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/0x7c13/Notepads,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/11ty/eleventy,OK,npm,https://www.npmjs.com/package/@11ty/eleventy,633,17987,3,32,290898,last-month,2023-10-01T22:41:01.021Z
https://github.com/1c7/Youtube-Auto-Subtitle-Download,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/24pullrequests/24pullrequests,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/31z4/zookeeper-docker,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/3lang3/react-vant,OK,npm,https://www.npmjs.com/package/react-vant,20,45,null,null,3331,last-month,2023-10-02T11:11:35.434Z
https://github.com/4awpawz/fusion.ssg,OK,npm,https://www.npmjs.com/package/@4awpawz/fusion.ssg,0,0,null,null,404,last-month,2023-10-02T12:08:28.714Z
https://github.com/553899811/Java-Programmer-Advancement-Program,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/5argon/NotchSolution,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/A-l-y-l-e/Alyle-UI,OK,npm,https://www.npmjs.com/package/@alyle/ui,2,70,null,null,40996,last-month,2023-10-02T11:15:13.38Z
https://github.com/a11yproject/a11yproject.com,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/abelljs/abell,OK,npm,https://www.npmjs.com/package/abell,8,19,null,null,564,last-month,2023-10-02T04:02:36.277Z
https://github.com/AberystwythSystemsBiology/limbus,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/abhaynikam/boring_generators,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/abhinavsingh/proxy.py,OK,pypi,https://pypi.org/project/proxy.py/,3,132,2,30,109655,last-month,2023-10-01T16:51:21.056Z
