RepositoryUrl,Status,ecosystem,registry_url,dependent_packages_count,dependent_repos_count,docker_dependents_count,docker_downloads_count,downloads,downloads_period,last_synced_at
https://github.com/-/test,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/07akioni/xicons,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/0x7c13/Notepads,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/11ty/eleventy,OK,npm,https://www.npmjs.com/package/@11ty/eleventy,737,17987,3,32,257209,last-month,2024-02-11T20:42:30.297Z
https://github.com/1c7/Youtube-Auto-Subtitle-Download,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/24pullrequests/24pullrequests,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/31z4/zookeeper-docker,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/3lang3/react-vant,OK,npm,https://www.npmjs.com/package/react-vant,24,45,null,null,3676,last-month,2024-02-12T02:07:32.723Z
https://github.com/4awpawz/fusion.ssg,OK,npm,https://www.npmjs.com/package/@4awpawz/fusion.ssg,0,0,null,null,299,last-month,2024-02-12T01:11:11.648Z
https://github.com/553899811/Java-Programmer-Advancement-Program,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/5argon/NotchSolution,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/A-l-y-l-e/Alyle-UI,OK,npm,https://www.npmjs.com/package/@alyle/ui,3,70,null,null,21212,last-month,2024-02-12T02:12:34.056Z
https://github.com/a11yproject/a11yproject.com,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/abelljs/abell,OK,npm,https://www.npmjs.com/package/abell,8,19,null,null,88,last-month,2024-02-12T05:41:29.271Z
https://github.com/AberystwythSystemsBiology/limbus,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/abhaynikam/boring_generators,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/abhinavsingh/proxy.py,OK,pypi,https://pypi.org/project/proxy.py/,5,157,2,30,87850,last-month,2024-02-12T02:12:35.585Z
